TÍTULO,CLAVE DE REGIÓN HIDROLÓGICA,NOMBRE DE REGIÓN HIDROLÓGICA,ESTADO,NOMBRE DE ESTADO,MUNICIPIO(S),CLAVE DE CUENCA HIDROLÓGICA,NOMBRE DE CUENCA HIDROLÓGICA,VOLUMEN ANUAL EN m3 ,FUENTE,AFLUENTE,NÚMERO DE ANEXO
06CHI400505/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,"DELICIAS, ROSALES Y MEOQUI",411,RÍO CONCHOS 2,130882000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400506/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,ROSALES Y MEOQUI,411,RÍO CONCHOS 2,57061000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400509/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,MEOQUI,411,RÍO CONCHOS 2,63087000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400508/24ATGC18,24,BRAVO-CONCHOS,8,CHIHUAHUA,ROSALES,411,RÍO CONCHOS 2,52201000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
06CHI400507/24ATGC19,24,BRAVO-CONCHOS,8,CHIHUAHUA,"MEOQUI, JULIMES Y ROSALES",411,RÍO CONCHOS 2,204243000.00,PRESAS LA BOQUILLA Y FRANCISCO I. MADERO,RÍO BRAVO,1
07DGO401702/36ATGC00,36,NAZAS-AGUANAVAL,10,DURANGO,"NAZAS, DURANGO",737,AGUSTÍN MELGAR,42446000.00,PRESAS DE ALMACENAMIENTO LÁZARO CÁRDENAS Y FRANCISCO ZARCO,RÍO NAZAS,1
07DGO401701/36ATDA12,36,NAZAS-AGUANAVAL,10,DURANGO,RODEO,737,AGUSTÍN MELGAR,25121000.00,PRESAS DE ALMACENAMIENTO LAZARO CARDENAS Y FRANCISCO ZARCO,RIO NAZAS,1
07DGO401718/36ATDA12,36,NAZAS-AGUANAVAL,10,DURANGO,"SAN JUAN DE GUADALUPE, DGO. Y VIESCA COAHUILA",747,PRESA LA FLOR,12716000.00,DERIVACIONES DIRECTAS DEL RIO AGUANAVAL,RIO AGUANAVAL,1
03DGO405201/11ATGC00,11,PRESIDIO-SAN PEDRO,10,DURANGO,POANAS,152,RÍO POANAS,9177000.00,PRESA DE ALMACENAMIENTO FRANCISCO VILLA,RIO POANAS,1
03DGO405202/11ATGC00,11,PRESIDIO-SAN PEDRO,10,DURANGO,POANAS,152,RÍO POANAS,24794000.00,PRESA DE ALMACENAMIENTO FRANCISCO VILLA,RÍO POANAS,1
03DGO405203/11ATDL15,11,PRESIDIO-SAN PEDRO,10,DURANGO,DURANGO,151,RÍO DURANGO,46259000.00,PRESA DE ALMACENAMIENTO GUADALUPE VICTORIA,RÍO EL TUNAL,1
03DGO405204/11ATGC00,11,PRESIDIO-SAN PEDRO,10,DURANGO,DURANGO,151,RÍO DURANGO,14354000.00,PRESA DE ALMACENAMIENTO PEÑA DEL AGUILA,RÍO LA SAUCEDA,1
03DGO405205/11ATGC00,11,PRESIDIO-SAN PEDRO,10,DURANGO,DURANGO,150,RÍO SANTIAGO BAYACORA,22799000.00,PRESA DE ALMACENAMIENTO SANTIAGO BAYACORA,RÍO SANTIAGO BAYACORA,1
08GUA401101/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,ACÁMBARO,0,,75950000.00,"SISTEMA DE PRESAS TEPUXTEPEC- SOLÍS-LAGUNA DE YURIRIA, CANAL SAN CRISTÓBAL",RÍO LERMA,1
08GUA401103/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,JARAL Y CORTÁZAR,0,,48880000.00,SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA,RÍO LERMA,1
08GUA401104/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"VALLE, SALAMANCA Y JARAL",0,,100320000.00,"SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA, PRESA DERIVADORA LOMO DE TORO",RÍO LERMA,1
08GUA401107/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"IRAPUATO, SALAMANCA Y PUEBLO NUEVO",0,,46450000.00,"SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA, PRESA DERIVADORA LOMO DE TORO",RÍO LERMA,1
08GUA401109/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"HUANÍMARO, ABASOLO Y PÉNJAMO",0,,29340000.00,SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA,RÍO LERMA,1
08GUA401110/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,PÉNJAMO,0,,7490000.00,SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA,RÍO TURBIO,1
08GUA100202/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,COMONFORT,0,,2240000.00,PRESA NEUTLA (ISIDRO G. OROZCO PORTUGAL),ARROYO NEUTLA,1
08GUA100204/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,CELAYA,0,,22320000.00,PRESA DE ALMACENAMIENTO IGNACIO ALLENDE,RIO LAJA,1
08GUA401105/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"CORTAZAR, VILLAGRAN Y SALAMANCA",0,,137270000.00,"SISTEMA DE PRESAS TEPUXTEPEC-SOLIS-LAGUNA DE YURIRA, PRESA DERIVADORA LOMO DE TORO",RIO LERMA,1
08GUA401111/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,IRAPUATO Y GUANAJUATO,0,,25200000.00,PRESA LA PURÍSIMA,RÍO GUANAJUATO,1
08GUA100203/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,COMONFORT,0,,8300000.00,PRESA DE ALMACENAMIENTO IGNACIO ALLENDE,RIO LAJA,1
08GUA100205/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,CELAYA,0,,69830000.00,PRESA DE ALMACENAMIENTO IGNACIO ALLENDE,RIO LAJA,1
08GUA401108/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"ABASOLO, PUEBLO NUEVO E IRAPUATO",0,,109050000.00,SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA,RÍO LERMA,1
08GUA401102/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,"SALVATIERRA, ACÁMBARO, SANTIAGO MARAVATÍO, YURIRIA Y TARÍMORO",0,,130470000.00,SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA; PRESAS DERIVADORAS: CHAMÁCUARO Y REFORMA,RÍO LERMA,1
08GUA401106/12ATGC00,12,LERMA-SANTIAGO,11,GUANAJUATO,SALAMANCA E IRAPUATO,0,,111050000.00,"SISTEMA DE PRESAS TEPUXTEPEC-SOLÍS-LAGUNA DE YURIRIA, PRESA DERIVADORA SANTA JULIA",RÍO LERMA,1
04GRO405701/18ATGC00,18,BALSAS,12,GUERRERO,"CUTZAMALA DE PINZÓN, PUNGARABATO Y SAN LUCAS",277,RÍO MEDIO BALSAS,160590000.00,PRESA EL GALLO,RÍO CUTZAMALA,1
04GRO405702/18ATGC00,18,BALSAS,12,GUERRERO,"ARCELIA, TLALCHAPA, SAN MIGUEL TOTOLAPAN, AJUCHITLAN DEL PROGRESO, TLAPEHUALA Y TLA TLAYA",277,RÍO MEDIO BALSAS,158320000.00,PRESA VICENTE GUERRERO,RÍO POLIUTLA,1
04GRO405703/18ATGC00,18,BALSAS,12,GUERRERO,AJUCHITLAN DEL PROGRESO Y COYUCA DE CATALAN,277,RÍO MEDIO BALSAS,55190000.00,PRESA ANDRES FIGUEROA,RÍO LAS GARZAS,1
04GRO405703/18ATGC00,18,BALSAS,12,GUERRERO,AJUCHITLAN DEL PROGRESO Y COYUTLA DE CATALAN,277,RÍO MEDIO BALSAS,12660000.00,DERIVADORA AMUCO,RÍO AMUCO,2
04GRO405704/18ATGC00,18,BALSAS,12,GUERRERO,ZIRÁNDARO DE LOS CHÁVEZ,281,RÍO BAJO BALSAS,19500000.00,PRESA LA CALERA,RÍO EL ORO,1
05GRO409501/20ATGC00,20,COSTA CHICA DE GUERRERO,12,GUERRERO,"ATOYAC DE ALVAREZ, BENITO JUÁREZ Y TECPAN DE GALEANA.",305,RÍO ATOYAC 1,28451000.00,DERIVACIÓN DEL RÍO ATOYAC (PRESA DERIVADORA JUAN N. ÁLVAREZ),RÍO ATOYAC,1
05GRO410401/20ATGC00,20,COSTA CHICA DE GUERRERO,12,GUERRERO,CUAJINICUILAPA,334,RÍO CORTIJOS 4,6906000.00,DERIVACIÓN DEL RÍO CORTIJOS,RÍO CORTIJOS,1
05GRO410501/20ATGC00,20,COSTA CHICA DE GUERRERO,12,GUERRERO,"SAN MARCOS, TECOANAPA, FLORENCIO VILLARREAL Y CUAUHTEPEC",320,RÍO NEXPA 1,48798000.00,PRESA DE ALMACENAMIENTO REVOLUCIÓN MEXICANA (EL GUINEO),RÍO NEXPA,1
04GRO409801/18ATGC00,18,BALSAS,12,GUERRERO,LA UNIÓN,281,RÍO BAJO BALSAS,35360000.00,PRESA JOSÉ MARÍA MORELOS,RÍO BALSAS,1
13HGO410001/26ATGC00,26,PÁNUCO,13,HIDALGO,"ALFAJAYUCAN, TASQUILLO E IXMIQUILPAN",558,PRESA ENDHÓ,148290000.00,"PRESAS ENDHÓ, JAVIER ROJO GÓMEZ Y VICENTE AGUIRRE (PLANTA DE BOMBEO BINOLA)",RÍO ALFAJAYUCAN,1
