,TÍTULO,NÚMERO DE ANEXO,LONGITUD,LATITUD,TIPO
113,814442,1126,-99.22361111111111,-99.22361111111111,SUPERFICIAL
117,814581,1127,-98.78999461111111,-98.78999461111111,SUPERFICIAL
146,815214,1128,-98.90639061111112,-98.90639061111112,SUPERFICIAL
147,815239,1129,-99.76050033333334,-99.76050033333334,SUPERFICIAL
150,815294,1130,-98.75808236111111,-98.75808236111111,SUPERFICIAL
153,815316,1131,-98.92555566666667,-98.92555566666667,SUPERFICIAL
158,815345,1132,-98.56250833333333,-98.56250833333333,SUPERFICIAL
159,815345,1133,-98.55695197222222,-98.55695197222222,SUPERFICIAL
160,815345,1134,-98.55695733333333,-98.55695733333333,SUPERFICIAL
165,815520,1135,-99.22083361111112,-99.22083361111112,SUPERFICIAL
166,815521,1136,-98.7483333888889,-98.7483333888889,SUPERFICIAL
167,815523,1137,-98.79666963888889,-98.79666963888889,SUPERFICIAL
168,815524,1138,-98.49944477777778,-98.49944477777778,SUPERFICIAL
169,815524,1139,-98.49638938888889,-98.49638938888889,SUPERFICIAL
170,815524,1140,-98.4980568888889,-98.4980568888889,SUPERFICIAL
171,815524,1141,-98.50168408333333,-98.50168408333333,SUPERFICIAL
172,815524,1142,-98.49639958333333,-98.49639958333333,SUPERFICIAL
173,815524,1143,-98.49944477777778,-98.49944477777778,SUPERFICIAL
174,815524,1144,-98.500004,-98.500004,SUPERFICIAL
315,817066,1145,-99.16916705555556,-99.16916705555556,SUPERFICIAL
316,817104,1146,-99.24305577777778,-99.24305577777778,SUPERFICIAL
390,818374,1147,-98.83333380555555,-98.83333380555555,SUPERFICIAL
552,822716,1148,-98.9458346388889,-98.9458346388889,SUPERFICIAL
653,824536,1149,-98.44527791666667,-98.44527791666667,SUPERFICIAL
699,825207,1150,-98.47905583333333,-98.47905583333333,SUPERFICIAL
700,825210,1151,-98.9000001388889,-98.9000001388889,SUPERFICIAL
702,825244,1152,-98.88666861111112,-98.88666861111112,SUPERFICIAL
705,825270,1153,-98.84111144444444,-98.84111144444444,SUPERFICIAL
706,825286,1154,-98.78000066666667,-98.78000066666667,SUPERFICIAL
708,825301,1155,-98.91055555555556,-98.91055555555556,SUPERFICIAL
710,825313,1156,-98.79667333333333,-98.79667333333333,SUPERFICIAL
711,825316,1157,-98.81388936111111,-98.81388936111111,SUPERFICIAL
712,825317,1158,-98.53638880555556,-98.53638880555556,SUPERFICIAL
713,825318,1159,-99.18694508333334,-99.18694508333334,SUPERFICIAL
715,825322,1160,-98.89722238888889,-98.89722238888889,SUPERFICIAL
716,825326,1161,-98.2783335,-98.2783335,SUPERFICIAL
717,825329,1162,-99.16555575000001,-99.16555575000001,SUPERFICIAL
718,825330,1163,-99.16555605555556,-99.16555605555556,SUPERFICIAL
719,825335,1164,-98.26722255555555,-98.26722255555555,SUPERFICIAL
720,825361,1165,-98.90750327777778,-98.90750327777778,SUPERFICIAL
721,825362,1166,-98.61251072222221,-98.61251072222221,SUPERFICIAL
726,825385,1167,-98.75833330555555,-98.75833330555555,SUPERFICIAL
727,825390,1168,-99.19722238888889,-99.19722238888889,SUPERFICIAL
728,825393,1169,-98.3022223888889,-98.3022223888889,SUPERFICIAL
729,825399,1170,-99.72222488888889,-99.72222488888889,SUPERFICIAL
731,825407,1171,-98.83888922222222,-98.83888922222222,SUPERFICIAL
734,825428,1172,-99.25444727777777,-99.25444727777777,SUPERFICIAL
735,825430,1173,-99.25388927777777,-99.25388927777777,SUPERFICIAL
738,825457,1174,-99.16583383333334,-99.16583383333334,SUPERFICIAL
739,825459,1175,-98.26888930555556,-98.26888930555556,SUPERFICIAL
743,825474,1176,-98.90416716666667,-98.90416716666667,SUPERFICIAL
744,825475,1177,-99.06138955555555,-99.06138955555555,SUPERFICIAL
745,825478,1178,-98.37500030555555,-98.37500030555555,SUPERFICIAL
746,825479,1179,-98.628625,-98.628625,SUPERFICIAL
