NÚMERO DE ANEXO,CLAVE DE ACUÍFERO,VOLUMEN ANUAL EN m3,FECHA
3600,703,4595.4,2022-05-22
3601,709,446512.5,2022-05-22
3602,707,11700.0,2022-05-22
3603,707,11700.0,2022-05-22
3604,710,137449.24,2022-05-22
3605,710,11000.0,2022-05-22
3606,710,17000.0,2022-05-22
3607,710,6000.0,2022-05-22
3608,703,66000.0,2022-05-22
3609,703,8640.0,2022-05-22
3610,705,5234.22,2022-05-22
3611,703,21900.0,2022-05-22
3612,702,570000.0,2022-05-22
3613,703,10410.12,2022-05-22
3614,705,19710.0,2022-05-22
3615,705,59130.0,2022-05-22
3616,705,49275.0,2022-05-22
3617,705,43362.0,2022-05-22
3618,703,120000.0,2022-05-22
3619,705,43200.0,2022-05-22
3620,703,8409.6,2022-05-22
3621,703,16920.0,2022-05-22
3622,703,5600.0,2022-05-22
3623,705,4608.0,2022-05-22
3624,702,660679.2,2022-05-22
3625,702,1056456.0,2022-05-22
3626,710,176000.0,2022-05-22
3627,710,699320.0,2022-05-22
3628,710,699320.0,2022-05-22
3629,710,77760.0,2022-05-22
3630,701,420000.0,2022-05-22
3631,711,66000.0,2022-05-22
3632,709,116640.0,2022-05-22
3633,703,3402.0,2022-05-22
3634,703,1005.3,2022-05-22
3635,710,2110.0,2022-05-22
3636,703,1192.32,2022-05-22
3637,710,264000.0,2022-05-22
3638,709,2049.84,2022-05-22
3639,703,20024.0,2022-05-22
3640,703,1022.4,2022-05-22
3641,710,66000.0,2022-05-22
3642,707,41249.25,2022-05-22
3643,707,40783.17,2022-05-22
3644,701,672000.0,2022-05-22
3645,701,672000.0,2022-05-22
3646,701,936000.0,2022-05-22
3647,701,672000.0,2022-05-22
3648,710,603556.0,2022-05-22
3649,703,7609.9,2022-05-22
3650,709,394460.0,2022-05-22
3651,701,392996.14,2022-05-22
3652,701,335998.4,2022-05-22
3653,708,22014.72,2022-05-22
3654,708,26208.0,2022-05-22
3655,708,30000.0,2022-05-22
3656,708,1950.48,2022-05-22
3657,709,146.98,2022-05-22
3658,708,31449.6,2022-05-22
3659,701,191.91,2022-05-22
3660,709,432.0,2022-05-22
3661,701,34.48,2022-05-22
3662,709,48.33,2022-05-22
3663,713,399.82,2022-05-22
3664,701,26.7,2022-05-22
3665,709,126271.75,2022-05-22
3666,708,21000.0,2022-05-22
3667,709,46165.68,2022-05-22
3668,836,45000.0,2022-05-22
3669,809,120000.0,2022-05-22
3670,807,180000.0,2022-05-22
3671,860,140000.0,2022-05-22
3672,819,360000.0,2022-05-22
3673,816,360000.0,2022-05-22
3674,830,400000.0,2022-05-22
3675,830,208180.0,2022-05-22
3676,830,342144.0,2022-05-22
3677,830,404352.0,2022-05-22
3678,807,0.0,2022-05-22
3679,814,20000.0,2022-05-22
3680,814,20000.0,2022-05-22
3681,814,20000.0,2022-05-22
3682,860,300000.0,2022-05-22
3683,805,48000.0,2022-05-22
3684,814,20000.0,2022-05-22
3685,819,240000.0,2022-05-22
3686,801,101808.0,2022-05-22
3687,842,762000.0,2022-05-22
3688,808,100000.0,2022-05-22
3689,825,120000.0,2022-05-22
3690,821,99200.0,2022-05-22
3691,822,47000.0,2022-05-22
3692,822,80000.0,2022-05-22
3693,855,540000.0,2022-05-22
3694,840,360000.0,2022-05-22
3695,822,110000.0,2022-05-22
3696,801,192000.0,2022-05-22
3697,824,360000.0,2022-05-22
3698,801,299484.0,2022-05-22
3699,801,94068.0,2022-05-22
3700,803,60000.0,2022-05-22
3701,804,30000.0,2022-05-22
3702,840,360000.0,2022-05-22
3703,855,540000.0,2022-05-22
3704,829,200000.0,2022-05-22
3705,832,18000.0,2022-05-22
3706,831,60000.0,2022-05-22
3707,831,276000.0,2022-05-22
3708,831,360000.0,2022-05-22
3709,831,1260.0,2022-05-22
3710,806,96000.0,2022-05-22
3711,832,140000.0,2022-05-22
3712,832,150000.0,2022-05-22
3713,860,300000.0,2022-05-22
3714,805,300000.0,2022-05-22
3715,807,42000.0,2022-05-22
3716,835,312000.0,2022-05-22
3717,808,200000.0,2022-05-22
3718,806,96800.0,2022-05-22
3719,860,300000.0,2022-05-22
3720,831,50000.0,2022-05-22
3721,806,96000.0,2022-05-22
3722,855,210000.0,2022-05-22
3723,831,96000.0,2022-05-22
3724,822,8000.0,2022-05-22
3725,821,360000.0,2022-05-22
3726,814,330000.0,2022-05-22
3727,832,90000.0,2022-05-22
3728,808,180000.0,2022-05-22
3729,805,5000.0,2022-05-22
3730,808,200000.0,2022-05-22
3731,814,20000.0,2022-05-22
3732,822,360000.0,2022-05-22
3733,822,1000.0,2022-05-22
3734,831,100000.0,2022-05-22
3735,844,600000.0,2022-05-22
3736,814,300000.0,2022-05-22
3737,832,359640.0,2022-05-22
3738,814,100000.0,2022-05-22
3739,835,400000.0,2022-05-22
3740,805,2000.0,2022-05-22
3741,803,120000.0,2022-05-22
3742,805,1500.0,2022-05-22
3743,805,240000.0,2022-05-22
3744,825,1000.0,2022-05-22
3745,805,1058.0,2022-05-22
3746,822,50000.0,2022-05-22
3747,805,1000.0,2022-05-22
3748,805,240000.0,2022-05-22
3749,835,28000.0,2022-05-22
3750,801,150000.0,2022-05-22
3751,814,100000.0,2022-05-22
3752,814,100000.0,2022-05-22
3753,808,36000.0,2022-05-22
3754,801,480000.0,2022-05-22
3755,805,482.0,2022-05-22
3756,832,340000.0,2022-05-22
3757,807,20000.0,2022-05-22
3758,855,120000.0,2022-05-22
3759,841,540000.0,2022-05-22
3760,841,540000.0,2022-05-22
3761,814,396000.0,2022-05-22
3762,808,144000.0,2022-05-22
3763,814,300000.0,2022-05-22
3764,821,390000.0,2022-05-22
3765,832,300000.0,2022-05-22
3766,806,176000.0,2022-05-22
3767,841,360000.0,2022-05-22
3768,901,450000.0,2022-05-22
3769,901,950000.0,2022-05-22
3770,901,1800000.0,2022-05-22
3771,901,270720.0,2022-05-22
3772,901,14701.0,2022-05-22
3773,901,43200.0,2022-05-22
3774,901,121500.0,2022-05-22
