NÚMERO DE ANEXO,TÍTULO,VOLUMEN DE DESCARGA ANUAL EN M3,VOLUMEN DE DESCARGA DIARIO EN M3,FECHA
22894,01BCS153949/06ERDL17,37595.0,103.0,2022-05-22
22895,01BCS154216/06ERGC17,5110.0,14.0,2022-05-22
22896,01BCS154245/06EWDL18,164250.0,450.0,2022-05-22
22897,01BCS157177/06EKDL18,18250.0,50.0,2022-05-22
22898,01SON151295/07CMGC13,44150.4,120.96,2022-05-22
22899,01SON151317/07CMGC13,23336.64,63.94,2022-05-22
22900,01SON151416/07ERGC17,10720.05,29.37,2022-05-22
22901,02SON150044/09FROC10,15120.0,56.0,2022-05-22
22902,02SON150148/09DJDA15,17205204.5,80398.32,2022-05-22
22903,02SON150184/09GMOC10,8935.2,24.0,2022-05-22
22904,02SON150254/09DDOC10,6307200.0,17280.0,2022-05-22
22905,02SON150257/09GMOC10,27859.0,76.0,2022-05-22
22906,02SON150316/09EMOC11,16129.35,44.19,2022-05-22
22907,02SON150318/09EMOC11,9636.0,26.4,2022-05-22
22908,02SON150363/09GMOC11,7500.0,20.55,2022-05-22
22909,02SON150366/08EMOC11,10220.0,28.0,2022-05-22
22910,02SON150366/08EMOC11,7300.0,20.0,2022-05-22
22911,02SON150393/09EMOC11,182.5,0.5,2022-05-22
22912,02SON150393/09EMOC11,7.0,0.03,2022-05-22
22913,02SON150405/09EMOC11,170.0,1.13,2022-05-22
22914,02SON150405/09EMOC11,590.0,2.03,2022-05-22
22915,02SON150407/09EROC11,117.0,0.45,2022-05-22
22916,02SON150451/09DIOC11,42014175.0,267606.21,2022-05-22
22917,02SON150454/09DIOC11,12000.0,50.0,2022-05-22
22918,02SON150457/09DIOC11,31511200.0,193320.3,2022-05-22
22919,02SON150460/09GCOC11,7000.0,19.18,2022-05-22
22920,02SON150515/09GMDA11,2500.0,6.85,2022-05-22
22921,02SON150516/09GMDA11,5475.0,15.0,2022-05-22
22922,02SON150538/09DIDA11,121689828.0,640472.78,2022-05-22
22923,02SON150541/08EMDA11,2920.0,8.0,2022-05-22
22924,02SON150557/09GCDA11,365.0,1.0,2022-05-22
22925,02SON150729/09FRDA11,36500.0,100.0,2022-05-22
22926,02SON150832/09DIDA12,84754098.36,470856.1,2022-05-22
22927,02SON150832/09DIDA12,9245901.64,51366.12,2022-05-22
22928,02SON150835/09DIDA12,103600000.0,560000.0,2022-05-22
22929,02SON150889/09GMDA12,68750.0,250.0,2022-05-22
22930,02SON150977/09EMDA12,462.0,1.48,2022-05-22
22931,02SON150978/09EMDA12,1066.0,2.96,2022-05-22
22932,02SON150982/09GMDA12,20625.0,75.0,2022-05-22
22933,02SON151115/09GMDA12,12375.0,45.0,2022-05-22
22934,02SON151126/09ERDA12,150.0,0.55,2022-05-22
22935,02SON151129/09ERDA12,260.0,0.96,2022-05-22
22936,02SON151142/09FKDA13,1260000.0,3452.05,2022-05-22
22937,02SON151158/09FMDA13,40000.0,222.22,2022-05-22
22938,02SON151214/09EMDA13,450.0,5.0,2022-05-22
22939,02SON151247/09DIDA13,96000000.0,480000.0,2022-05-22
22940,02SON151279/09EMDA13,1095.0,3.0,2022-05-22
22941,02SON151280/08EMDA13,3150.0,35.0,2022-05-22
22942,02SON151281/09GMDA13,122640.0,336.0,2022-05-22
22943,02SON151290/09CRGC13,58341.6,159.84,2022-05-22
22944,02SON151293/09CMGC13,78840.0,216.0,2022-05-22
22945,02SON151316/09CMGC13,46673.28,127.87,2022-05-22
22946,02SON151345/09EMDA13,730.0,2.0,2022-05-22
22947,02SON151346/09FMDA13,81900.0,525.0,2022-05-22
22948,02SON151347/09ERDA13,26280.0,72.0,2022-05-22
22949,02SON151350/09ERDA13,625.98,1.72,2022-05-22
22950,02SON151379/09EMDA14,1095.0,3.0,2022-05-22
22951,02SON151382/09GCDA14,99645.0,273.0,2022-05-22
22952,02SON151426/09ERDA14,13870.0,38.0,2022-05-22
